Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize
NFO,45667,75,NIFTY,NIFTY13MAR25P25500,2025-03-13,OPTIDX,PE,25500.0,0.05
NFO,45666,75,NIFTY,NIFTY13MAR25C25500,2025-03-13,OPTIDX,CE,25500.0,0.05
NFO,45665,75,NIFTY,NIFTY13MAR25P25450,2025-03-13,OPTIDX,PE,25450.0,0.05
NFO,45664,75,NIFTY,NIFTY13MAR25C25450,2025-03-13,OPTIDX,CE,25450.0,0.05
NFO,45663,75,NIFTY,NIFTY13MAR25P25400,2025-03-13,OPTIDX,PE,25400.0,0.05
NFO,45662,75,NIFTY,NIFTY13MAR25C25400,2025-03-13,OPTIDX,CE,25400.0,0.05
NFO,45661,75,NIFTY,NIFTY13MAR25P25350,2025-03-13,OPTIDX,PE,25350.0,0.05
NFO,45655,75,NIFTY,NIFTY13MAR25C25350,2025-03-13,OPTIDX,CE,25350.0,0.05
NFO,45654,75,NIFTY,NIFTY13MAR25P25300,2025-03-13,OPTIDX,PE,25300.0,0.05
NFO,45653,75,NIFTY,NIFTY13MAR25C25300,2025-03-13,OPTIDX,CE,25300.0,0.05
NFO,45652,75,NIFTY,NIFTY13MAR25P25250,2025-03-13,OPTIDX,PE,25250.0,0.05
NFO,45651,75,NIFTY,NIFTY13MAR25C25250,2025-03-13,OPTIDX,CE,25250.0,0.05
NFO,45649,75,NIFTY,NIFTY13MAR25P25200,2025-03-13,OPTIDX,PE,25200.0,0.05
NFO,45648,75,NIFTY,NIFTY13MAR25C25200,2025-03-13,OPTIDX,CE,25200.0,0.05
NFO,45647,75,NIFTY,NIFTY13MAR25P25150,2025-03-13,OPTIDX,PE,25150.0,0.05
NFO,45646,75,NIFTY,NIFTY13MAR25C25150,2025-03-13,OPTIDX,CE,25150.0,0.05
NFO,45645,75,NIFTY,NIFTY13MAR25P25100,2025-03-13,OPTIDX,PE,25100.0,0.05
NFO,45644,75,NIFTY,NIFTY13MAR25C25100,2025-03-13,OPTIDX,CE,25100.0,0.05
NFO,45643,75,NIFTY,NIFTY13MAR25P25050,2025-03-13,OPTIDX,PE,25050.0,0.05
NFO,45642,75,NIFTY,NIFTY13MAR25C25050,2025-03-13,OPTIDX,CE,25050.0,0.05
NFO,45641,75,NIFTY,NIFTY13MAR25P25000,2025-03-13,OPTIDX,PE,25000.0,0.05
NFO,45638,75,NIFTY,NIFTY13MAR25C25000,2025-03-13,OPTIDX,CE,25000.0,0.05
NFO,45637,75,NIFTY,NIFTY13MAR25P24950,2025-03-13,OPTIDX,PE,24950.0,0.05
NFO,45636,75,NIFTY,NIFTY13MAR25C24950,2025-03-13,OPTIDX,CE,24950.0,0.05
NFO,45635,75,NIFTY,NIFTY13MAR25P24900,2025-03-13,OPTIDX,PE,24900.0,0.05
NFO,45633,75,NIFTY,NIFTY13MAR25C24900,2025-03-13,OPTIDX,CE,24900.0,0.05
NFO,45632,75,NIFTY,NIFTY13MAR25P24850,2025-03-13,OPTIDX,PE,24850.0,0.05
NFO,45621,75,NIFTY,NIFTY13MAR25C24850,2025-03-13,OPTIDX,CE,24850.0,0.05
NFO,45620,75,NIFTY,NIFTY13MAR25P24800,2025-03-13,OPTIDX,PE,24800.0,0.05
NFO,45619,75,NIFTY,NIFTY13MAR25C24800,2025-03-13,OPTIDX,CE,24800.0,0.05
NFO,45618,75,NIFTY,NIFTY13MAR25P24750,2025-03-13,OPTIDX,PE,24750.0,0.05
NFO,45617,75,NIFTY,NIFTY13MAR25C24750,2025-03-13,OPTIDX,CE,24750.0,0.05
NFO,45616,75,NIFTY,NIFTY13MAR25P24700,2025-03-13,OPTIDX,PE,24700.0,0.05
NFO,45615,75,NIFTY,NIFTY13MAR25C24700,2025-03-13,OPTIDX,CE,24700.0,0.05
NFO,45613,75,NIFTY,NIFTY13MAR25P24650,2025-03-13,OPTIDX,PE,24650.0,0.05
NFO,45612,75,NIFTY,NIFTY13MAR25C24650,2025-03-13,OPTIDX,CE,24650.0,0.05
